2.4220e-01,1.5040e-01,6.6030e-01
2.4440e-01,1.5340e-01,6.7280e-01
2.4640e-01,1.5690e-01,6.8470e-01
2.4840e-01,1.6070e-01,6.9610e-01
2.5030e-01,1.6480e-01,7.0710e-01
2.5220e-01,1.6890e-01,7.1790e-01
2.5400e-01,1.7320e-01,7.2860e-01
2.5580e-01,1.7730e-01,7.3930e-01
2.5760e-01,1.8140e-01,7.5010e-01
2.5940e-01,1.8540e-01,7.6100e-01
2.6110e-01,1.8930e-01,7.7190e-01
2.6280e-01,1.9320e-01,7.8280e-01
2.6450e-01,1.9720e-01,7.9370e-01
2.6610e-01,2.0110e-01,8.0430e-01
2.6760e-01,2.0520e-01,8.1480e-01
2.6910e-01,2.0940e-01,8.2490e-01
2.7040e-01,2.1380e-01,8.3460e-01
2.7170e-01,2.1840e-01,8.4390e-01
2.7290e-01,2.2310e-01,8.5280e-01
2.7400e-01,2.2800e-01,8.6120e-01
2.7490e-01,2.3300e-01,8.6920e-01
2.7580e-01,2.3820e-01,8.7670e-01
2.7660e-01,2.4350e-01,8.8400e-01
2.7740e-01,2.4890e-01,8.9080e-01
2.7810e-01,2.5430e-01,8.9730e-01
2.7880e-01,2.5980e-01,9.0350e-01
2.7940e-01,2.6530e-01,9.0940e-01
2.7980e-01,2.7080e-01,9.1500e-01
2.8020e-01,2.7640e-01,9.2040e-01
2.8060e-01,2.8190e-01,9.2550e-01
2.8090e-01,2.8750e-01,9.3050e-01
2.8110e-01,2.9300e-01,9.3520e-01
2.8130e-01,2.9850e-01,9.3970e-01
2.8140e-01,3.0400e-01,9.4410e-01
2.8140e-01,3.0950e-01,9.4830e-01
2.8130e-01,3.1500e-01,9.5240e-01
2.8110e-01,3.2040e-01,9.5630e-01
2.8090e-01,3.2590e-01,9.6000e-01
2.8070e-01,3.3130e-01,9.6360e-01
2.8030e-01,3.3670e-01,9.6700e-01
2.7980e-01,3.4210e-01,9.7020e-01
2.7910e-01,3.4750e-01,9.7330e-01
2.7840e-01,3.5290e-01,9.7630e-01
2.7760e-01,3.5830e-01,9.7910e-01
2.7660e-01,3.6380e-01,9.8170e-01
2.7540e-01,3.6930e-01,9.8400e-01
2.7410e-01,3.7480e-01,9.8620e-01
2.7260e-01,3.8040e-01,9.8810e-01
2.7100e-01,3.8600e-01,9.8980e-01
2.6910e-01,3.9160e-01,9.9120e-01
2.6700e-01,3.9730e-01,9.9240e-01
2.6470e-01,4.0300e-01,9.9350e-01
2.6210e-01,4.0880e-01,9.9460e-01
2.5910e-01,4.1450e-01,9.9550e-01
2.5560e-01,4.2030e-01,9.9650e-01
2.5170e-01,4.2610e-01,9.9740e-01
2.4730e-01,4.3190e-01,9.9830e-01
2.4240e-01,4.3780e-01,9.9910e-01
2.3690e-01,4.4370e-01,9.9960e-01
2.3110e-01,4.4970e-01,9.9950e-01
2.2500e-01,4.5590e-01,9.9850e-01
2.1890e-01,4.6200e-01,9.9680e-01
2.1280e-01,4.6820e-01,9.9480e-01
2.0660e-01,4.7430e-01,9.9260e-01
2.0060e-01,4.8030e-01,9.9060e-01
1.9500e-01,4.8610e-01,9.8870e-01
1.9030e-01,4.9190e-01,9.8670e-01
